game_id,date,month,day,year,home_id,home_name,home_score,away_id,away_name,away_score,venue_full_name,is_postseason,season,home_win_pct,home_point_diff,home_recent_win_pct,home_recent_point_diff,away_win_pct,away_point_diff,away_recent_win_pct,away_recent_point_diff,home_playoff_wins,away_playoff_wins,playoff_wins,home_win_badness,away_win_badness,home_point_diff_badness,away_point_diff_badness,home_badness,away_badness,team_badness,total_points,scoring_mean,scoring_std,ideal_scoring,scoring_badness,actual_margin,team_quality,competitiveness,uncompetitiveness,scoring_entertainment,team_quality_weight,competitiveness_weight,scoring_weight,actual_watchability,uncompetitiveness_weight,team_weight,actual_slop,slop_percentile,watchability_percentile
459058,2016-09-09 18:45:00+00:00,9,9,2016,89,Real Sociedad,1,88,Espanyol,1,Estadio Municipal de Anoeta,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,2,,,,,0,,,,,,,,,,,,,
459055,2016-09-10 11:00:00+00:00,9,10,2016,85,Celta Vigo,0,1068,Atlético Madrid,4,Estadio Abanca-Balaídos,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,4,,,,,4,,,,,,,,,,,,,
459060,2016-09-10 14:00:00+00:00,9,10,2016,86,Real Madrid,5,97,Osasuna,2,Estadio Bernabéu,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,7,,,,,3,,,,,,,,,,,,,
459062,2016-09-10 16:15:00+00:00,9,10,2016,99,Málaga,0,102,Villarreal,2,La Rosaleda,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,2,,,,,2,,,,,,,,,,,,,
459059,2016-09-10 16:15:00+00:00,9,10,2016,243,Sevilla,2,98,Las Palmas,1,Ramón Sánchez-Pizjuán,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
459053,2016-09-10 18:30:00+00:00,9,10,2016,83,Barcelona,1,96,Alavés,2,Spotify Camp Nou,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
459056,2016-09-11 10:00:00+00:00,9,11,2016,3788,Sporting Gijón,2,17534,Leganés,1,El Molinón - Enrique Castro Quini,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
459061,2016-09-11 14:00:00+00:00,9,11,2016,94,Valencia,2,244,Real Betis,3,Mestalla,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,5,,,,,1,,,,,,,,,,,,,
459057,2016-09-11 16:15:00+00:00,9,11,2016,3747,Granada,1,3752,Eibar,2,Nuevo Los Cármenes,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,3,,,,,1,,,,,,,,,,,,,
459054,2016-09-11 18:30:00+00:00,9,11,2016,90,Deportivo,0,93,Athletic Club,1,ABANCA-Riazor,0,2016-2017,,,,,,,,,0,0,0,,,,,,,,1,,,,,1,,,,,,,,,,,,,
459046,2016-09-16 18:45:00+00:00,9,16,2016,244,Real Betis,2,3747,Granada,2,Benito Villamarín,0,2016-2017,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0,0,0,0.0,1.0,0.33333333333333337,0.6666666666666667,,,,4,,,,,0,,,,,,,,,,,,,
459043,2016-09-17 11:00:00+00:00,9,17,2016,17534,Leganés,1,83,Barcelona,5,Estadio Ontime Butarque,0,2016-2017,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0,1.0,1.0,0.6666666666666667,0.6666666666666667,,,,6,,,,,4,,,,,,,,,,,,,
459051,2016-09-17 14:15:00+00:00,9,17,2016,1068,Atlético Madrid,5,3788,Sporting Gijón,0,Vicente Calderón,0,2016-2017,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.33333333333333337,,,,5,,,,,5,,,,,,,,,,,,,
459050,2016-09-17 16:30:00+00:00,9,17,2016,3752,Eibar,1,243,Sevilla,1,Ipurua,0,2016-2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.33333333333333337,0.33333333333333337,,,,2,,,,,0,,,,,,,,,,,,,
459047,2016-09-17 18:45:00+00:00,9,17,2016,98,Las Palmas,1,99,Málaga,0,Estadio Gran Canaria,0,2016-2017,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0,0,0,1.0,1.0,0.6666666666666667,0.8333333333333334,,,,1,,,,,1,,,,,,,,,,,,,
459044,2016-09-18 10:00:00+00:00,9,18,2016,97,Osasuna,0,85,Celta Vigo,0,El Sadar,0,2016-2017,0.0,-3.0,0.0,-3.0,0.0,-4.0,0.0,-4.0,0,0,0,1.0,1.0,1.0,1.0,,,,0,,,,,0,,,,,,,,,,,,,
459052,2016-09-18 14:15:00+00:00,9,18,2016,93,Athletic Club,2,94,Valencia,1,San Mamés,0,2016-2017,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0,0,0,0.0,1.0,0.33333333333333337,0.6666666666666667,,,,3,,,,,1,,,,,,,,,,,,,
459049,2016-09-18 16:30:00+00:00,9,18,2016,102,Villarreal,2,89,Real Sociedad,1,Estadio de la Cerámica,0,2016-2017,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.16666666666666663,0.5,,,,3,,,,,1,,,,,,,,,,,,,
459048,2016-09-18 18:45:00+00:00,9,18,2016,88,Espanyol,0,86,Real Madrid,2,RCDE Stadium,0,2016-2017,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0,0,0,1.0,0.0,0.5,0.0,,,,2,,,,,2,,,,,,,,,,,,,
459045,2016-09-19 18:45:00+00:00,9,19,2016,96,Alavés,0,90,Deportivo,0,Mendizorroza,0,2016-2017,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0,0,0,0.0,1.0,0.33333333333333337,0.6666666666666667,,,,0,,,,,0,,,,,,,,,,,,,
459037,2016-09-20 18:00:00+00:00,9,20,2016,99,Málaga,2,3752,Eibar,1,La Rosaleda,0,2016-2017,0.0,-1.5,0.0,-1.5,0.5,0.5,0.5,0.5,0,0,0,1.0,0.5,0.75,0.41666666666666663,,,,3,,,,,1,,,,,,,,,,,,,
459040,2016-09-20 20:00:00+00:00,9,20,2016,243,Sevilla,1,244,Real Betis,0,Ramón Sánchez-Pizjuán,0,2016-2017,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.41666666666666663,0.41666666666666663,,,,1,,,,,1,,,,,,,,,,,,,
459041,2016-09-21 18:00:00+00:00,9,21,2016,85,Celta Vigo,2,3788,Sporting Gijón,1,Estadio Abanca-Balaídos,0,2016-2017,0.0,-2.0,0.0,-2.0,0.5,-2.0,0.5,-2.0,0,0,0,1.0,0.5,0.8333333333333334,0.8333333333333334,,,,3,,,,,1,,,,,,,,,,,,,
459042,2016-09-21 18:00:00+00:00,9,21,2016,86,Real Madrid,1,102,Villarreal,1,Estadio Bernabéu,0,2016-2017,1.0,2.5,1.0,2.5,1.0,1.5,1.0,1.5,0,0,0,0.0,0.0,0.08333333333333337,0.25,,,,2,,,,,0,,,,,,,,,,,,,
459035,2016-09-21 20:00:00+00:00,9,21,2016,83,Barcelona,1,1068,Atlético Madrid,1,Spotify Camp Nou,0,2016-2017,0.5,1.5,0.5,1.5,1.0,4.5,1.0,4.5,0,0,0,0.5,0.0,0.25,0.0,,,,2,,,,,0,,,,,,,,,,,,,
459034,2016-09-21 20:00:00+00:00,9,21,2016,3747,Granada,1,93,Athletic Club,2,Nuevo Los Cármenes,0,2016-2017,0.0,-0.5,0.0,-0.5,1.0,1.0,1.0,1.0,0,0,0,1.0,0.0,0.5833333333333333,0.33333333333333337,,,,3,,,,,1,,,,,,,,,,,,,
459039,2016-09-21 20:00:00+00:00,9,21,2016,89,Real Sociedad,4,98,Las Palmas,1,Estadio Municipal de Anoeta,0,2016-2017,0.0,-0.5,0.0,-0.5,0.5,0.0,0.5,0.0,0,0,0,1.0,0.5,0.5833333333333333,0.5,,,,5,,,,,3,,,,,,,,,,,,,
459038,2016-09-22 18:00:00+00:00,9,22,2016,97,Osasuna,1,88,Espanyol,2,El Sadar,0,2016-2017,0.0,-1.5,0.0,-1.5,0.0,-1.0,0.0,-1.0,0,0,0,1.0,1.0,0.75,0.6666666666666667,,,,3,,,,,1,,,,,,,,,,,,,
459036,2016-09-22 18:00:00+00:00,9,22,2016,90,Deportivo,1,17534,Leganés,2,ABANCA-Riazor,0,2016-2017,0.0,-0.5,0.0,-0.5,0.0,-2.5,0.0,-2.5,0,0,0,1.0,1.0,0.5833333333333333,0.9166666666666666,,,,3,,,,,1,,,,,,,,,,,,,
459033,2016-09-22 20:00:00+00:00,9,22,2016,94,Valencia,2,96,Alavés,1,Mestalla,0,2016-2017,0.0,-1.0,0.0,-1.0,0.5,0.5,0.5,0.5,0,0,0,1.0,0.5,0.6666666666666667,0.41666666666666663,,,,3,,,,,1,,0.7586206896551724,0.24137931034482762,0.3793103448275862,,,,,,,,,
459027,2016-09-23 18:45:00+00:00,9,23,2016,244,Real Betis,1,99,Málaga,0,Benito Villamarín,0,2016-2017,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.6666666666666666,0.3333333333333333,-0.6666666666666666,0,0,0,0.6666666666666667,0.6666666666666667,0.5,0.6111111111111112,,,,1,2.9,1.604949241865772,3.3012373104664428,0.6422589198076991,1,,0.7666666666666667,0.23333333333333328,0.06666666666666667,,,,,,,,,
459030,2016-09-24 11:00:00+00:00,9,24,2016,3752,Eibar,2,89,Real Sociedad,0,Ipurua,0,2016-2017,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,0,0.6666666666666667,0.6666666666666667,0.5,0.38888888888888895,,,,2,2.838709677419355,1.6144508703900609,3.24232239501687,0.2562618781495898,2,,0.22580645161290322,0.7741935483870968,0.1935483870967742,,,,,,,,,
