game_id,date,name,short_name,home_name,home_id,home_score,away_name,away_id,away_score,status,venue_full_name,season,is_postseason,month,day,year
459058,2016-09-09 18:45:00+00:00,Espanyol at Real Sociedad,ESP @ RSO,Real Sociedad,89,1,Espanyol,88,1,STATUS_FULL_TIME,Estadio Municipal de Anoeta,2016-2017,0,9,9,2016
459055,2016-09-10 11:00:00+00:00,Atlético Madrid at Celta Vigo,ATM @ CEL,Celta Vigo,85,0,Atlético Madrid,1068,4,STATUS_FULL_TIME,Estadio Abanca-Balaídos,2016-2017,0,9,10,2016
459060,2016-09-10 14:00:00+00:00,Osasuna at Real Madrid,OSA @ RMA,Real Madrid,86,5,Osasuna,97,2,STATUS_FULL_TIME,Estadio Bernabéu,2016-2017,0,9,10,2016
459062,2016-09-10 16:15:00+00:00,Villarreal at Málaga,VIL @ MCF,Málaga,99,0,Villarreal,102,2,STATUS_FULL_TIME,La Rosaleda,2016-2017,0,9,10,2016
459059,2016-09-10 16:15:00+00:00,Las Palmas at Sevilla,LPA @ SEV,Sevilla,243,2,Las Palmas,98,1,STATUS_FULL_TIME,Ramón Sánchez-Pizjuán,2016-2017,0,9,10,2016
459053,2016-09-10 18:30:00+00:00,Alavés at Barcelona,ALA @ BAR,Barcelona,83,1,Alavés,96,2,STATUS_FULL_TIME,Spotify Camp Nou,2016-2017,0,9,10,2016
459056,2016-09-11 10:00:00+00:00,Leganés at Sporting Gijón,LEG @ RSG,Sporting Gijón,3788,2,Leganés,17534,1,STATUS_FULL_TIME,El Molinón - Enrique Castro Quini,2016-2017,0,9,11,2016
459061,2016-09-11 14:00:00+00:00,Real Betis at Valencia,BET @ VAL,Valencia,94,2,Real Betis,244,3,STATUS_FULL_TIME,Mestalla,2016-2017,0,9,11,2016
459057,2016-09-11 16:15:00+00:00,Eibar at Granada,EIB @ GRA,Granada,3747,1,Eibar,3752,2,STATUS_FULL_TIME,Nuevo Los Cármenes,2016-2017,0,9,11,2016
459054,2016-09-11 18:30:00+00:00,Athletic Club at Deportivo,ATH @ DEP,Deportivo,90,0,Athletic Club,93,1,STATUS_FULL_TIME,ABANCA-Riazor,2016-2017,0,9,11,2016
459046,2016-09-16 18:45:00+00:00,Granada at Real Betis,GRA @ BET,Real Betis,244,2,Granada,3747,2,STATUS_FULL_TIME,Benito Villamarín,2016-2017,0,9,16,2016
459043,2016-09-17 11:00:00+00:00,Barcelona at Leganés,BAR @ LEG,Leganés,17534,1,Barcelona,83,5,STATUS_FULL_TIME,Estadio Ontime Butarque,2016-2017,0,9,17,2016
459051,2016-09-17 14:15:00+00:00,Sporting Gijón at Atlético Madrid,RSG @ ATM,Atlético Madrid,1068,5,Sporting Gijón,3788,0,STATUS_FULL_TIME,Vicente Calderón,2016-2017,0,9,17,2016
