id,uid,date,attendance,time_valid,neutral_site,conference_competition,play_by_play_available,recent,start_date,broadcast,highlights,notes_type,notes_headline,broadcast_market,broadcast_name,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,home_linescores,home_records,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,away_linescores,away_records,game_id,season,season_type,status_type_alt_detail,is_postseason,month,day,year
400903493,s:40~l:46~e:400903493~c:400903493,2016-10-01 23:30:00+00:00,19000,True,True,False,True,False,2016-10-01T23:30Z,,[],,,,,1,STD,1833,Rogers Arena,Vancouver,BC,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,000000,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,97,True,"[{'value': 20.0, 'displayValue': '20', 'period': 1}
 {'value': 33.0, 'displayValue': '33', 'period': 2}
 {'value': 25.0, 'displayValue': '25', 'period': 3}
 {'value': 19.0, 'displayValue': '19', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '1-0'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '1-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-0'}]",9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,003da5,1d428a,True,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,93,False,"[{'value': 22.0, 'displayValue': '22', 'period': 1}
 {'value': 29.0, 'displayValue': '29', 'period': 2}
 {'value': 25.0, 'displayValue': '25', 'period': 3}
 {'value': 17.0, 'displayValue': '17', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400903493,2017,1,,0,10,1,2016
400905357,s:40~l:46~e:400905357~c:400905357,2016-10-02 00:00:00+00:00,6752,True,False,False,True,False,2016-10-02T00:00Z,,[],,,,,1,STD,4811,Brookshire Grocery Arena,Bossier City,LA,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,3,s:40~l:46~t:3,New Orleans,Pelicans,NO,New Orleans Pelicans,Pelicans,0093B1,b4975a,True,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,116,True,"[{'value': 21.0, 'displayValue': '21', 'period': 1}
 {'value': 37.0, 'displayValue': '37', 'period': 2}
 {'value': 28.0, 'displayValue': '28', 'period': 3}
 {'value': 30.0, 'displayValue': '30', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '1-0'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '1-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-0'}]",6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,bbc4ca,True,516,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,102,False,"[{'value': 22.0, 'displayValue': '22', 'period': 1}
 {'value': 24.0, 'displayValue': '24', 'period': 2}
 {'value': 32.0, 'displayValue': '32', 'period': 3}
 {'value': 24.0, 'displayValue': '24', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400905357,2017,1,,0,10,2,2016
400899175,s:40~l:46~e:400899175~c:400899175,2016-10-03 00:00:00+00:00,12313,True,False,False,True,False,2016-10-03T00:00Z,,[],,,,,1,STD,1394,Toyota Center (Houston),Houston,TX,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,000000,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,131,True,"[{'value': 34.0, 'displayValue': '34', 'period': 1}
 {'value': 38.0, 'displayValue': '38', 'period': 2}
 {'value': 29.0, 'displayValue': '29', 'period': 3}
 {'value': 30.0, 'displayValue': '30', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '1-0'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '1-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-0'}]",110305,s:40~l:46~t:110305,Shanghai,Sharks,SHA,Shanghai Sharks,Sharks,,,False,,,94,False,"[{'value': 21.0, 'displayValue': '21', 'period': 1}
 {'value': 24.0, 'displayValue': '24', 'period': 2}
 {'value': 25.0, 'displayValue': '25', 'period': 3}
 {'value': 24.0, 'displayValue': '24', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '0-0', 'type': 'total'}
 {'abbreviation': 'null', 'name': 'Home', 'summary': '0-0', 'type': 'home'}
 {'abbreviation': 'null', 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",400899175,2017,1,,0,10,3,2016
400897113,s:40~l:46~e:400897113~c:400897113,2016-10-03 18:30:00+00:00,12414,True,False,False,True,False,2016-10-03T18:30Z,,[],,,,,1,STD,4792,Barclaycard Center,Madrid,,True,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,132,s:40~l:46~t:132,Madrid,Real Madrid,MDD,Real Madrid,Real Madrid,,,False,,,142,True,"[{'value': 22.0, 'displayValue': '22', 'period': 1}
 {'value': 28.0, 'displayValue': '28', 'period': 2}
 {'value': 37.0, 'displayValue': '37', 'period': 3}
 {'value': 39.0, 'displayValue': '39', 'period': 4}
 {'value': 16.0, 'displayValue': '16', 'period': 5}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '0-0', 'type': 'total'}
 {'abbreviation': 'null', 'name': 'Home', 'summary': '0-0', 'type': 'home'}
 {'abbreviation': 'null', 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,C67C03,ef3b24,True,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,137,False,"[{'value': 35.0, 'displayValue': '35', 'period': 1}
 {'value': 30.0, 'displayValue': '30', 'period': 2}
 {'value': 30.0, 'displayValue': '30', 'period': 3}
 {'value': 31.0, 'displayValue': '31', 'period': 4}
 {'value': 11.0, 'displayValue': '11', 'period': 5}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400897113,2017,1,OT,0,10,3,2016
400897293,s:40~l:46~e:400897293~c:400897293,2016-10-04 00:00:00+00:00,20104,True,False,False,True,False,2016-10-04T00:00Z,,[],,,home,CSNC,1,STD,1847,United Center,Chicago,IL,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,91,False,"[{'value': 21.0, 'displayValue': '21', 'period': 1}
 {'value': 21.0, 'displayValue': '21', 'period': 2}
 {'value': 25.0, 'displayValue': '25', 'period': 3}
 {'value': 24.0, 'displayValue': '24', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '0-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '0-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,eee1c6,True,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,93,True,"[{'value': 25.0, 'displayValue': '25', 'period': 1}
 {'value': 30.0, 'displayValue': '30', 'period': 2}
 {'value': 19.0, 'displayValue': '19', 'period': 3}
 {'value': 19.0, 'displayValue': '19', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '1-0'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '1-0'}]",400897293,2017,1,,0,10,4,2016
400898744,s:40~l:46~e:400898744~c:400898744,2016-10-04 00:00:00+00:00,12511,True,False,False,True,False,2016-10-04T00:00Z,,[],,,,,1,STD,1392,FedExForum,Memphis,TN,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,12173f,True,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,102,True,"[{'value': 20.0, 'displayValue': '20', 'period': 1}
 {'value': 31.0, 'displayValue': '31', 'period': 2}
 {'value': 26.0, 'displayValue': '26', 'period': 3}
 {'value': 25.0, 'displayValue': '25', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '1-0', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '1-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,9ca0a3,True,3432,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,97,False,"[{'value': 23.0, 'displayValue': '23', 'period': 1}
 {'value': 27.0, 'displayValue': '27', 'period': 2}
 {'value': 21.0, 'displayValue': '21', 'period': 3}
 {'value': 26.0, 'displayValue': '26', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400898744,2017,1,,0,10,4,2016
400899160,s:40~l:46~e:400899160~c:400899160,2016-10-04 00:30:00+00:00,19219,True,False,False,True,False,2016-10-04T00:30Z,,[],,,,,1,STD,516,American Airlines Center,Dallas,TX,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,bbc4ca,True,516,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,95,True,"[{'value': 23.0, 'displayValue': '23', 'period': 1}
 {'value': 25.0, 'displayValue': '25', 'period': 2}
 {'value': 26.0, 'displayValue': '26', 'period': 3}
 {'value': 21.0, 'displayValue': '21', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '1-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '1-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-1', 'type': 'road'}]",30,s:40~l:46~t:30,Charlotte,Hornets,CHA,Charlotte Hornets,Hornets,1D1060,1d1060,True,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,88,False,"[{'value': 26.0, 'displayValue': '26', 'period': 1}
 {'value': 12.0, 'displayValue': '12', 'period': 2}
 {'value': 23.0, 'displayValue': '23', 'period': 3}
 {'value': 27.0, 'displayValue': '27', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400899160,2017,1,,0,10,4,2016
400903492,s:40~l:46~e:400903492~c:400903492,2016-10-04 01:00:00+00:00,19600,True,True,False,True,False,2016-10-04T01:00Z,,[],,,,,1,STD,1843,Scotiabank Saddledome,Calgary,AB,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,000000,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,106,False,"[{'value': 27.0, 'displayValue': '27', 'period': 1}
 {'value': 27.0, 'displayValue': '27', 'period': 2}
 {'value': 29.0, 'displayValue': '29', 'period': 3}
 {'value': 23.0, 'displayValue': '23', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '1-1', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '1-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fec524,True,892,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,108,True,"[{'value': 31.0, 'displayValue': '31', 'period': 1}
 {'value': 26.0, 'displayValue': '26', 'period': 2}
 {'value': 25.0, 'displayValue': '25', 'period': 3}
 {'value': 26.0, 'displayValue': '26', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '1-0'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '1-0'}]",400903492,2017,1,,0,10,4,2016
400899184,s:40~l:46~e:400899184~c:400899184,2016-10-04 02:00:00+00:00,8076,True,False,False,True,False,2016-10-04T02:00Z,,[],,,,,1,STD,1949,Mortgage Matchup Center,Phoenix,AZ,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006a,e56020,True,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,91,True,"[{'value': 20.0, 'displayValue': '20', 'period': 1}
 {'value': 20.0, 'displayValue': '20', 'period': 2}
 {'value': 33.0, 'displayValue': '33', 'period': 3}
 {'value': 18.0, 'displayValue': '18', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '1-0', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '1-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,c4ced4,True,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,86,False,"[{'value': 30.0, 'displayValue': '30', 'period': 1}
 {'value': 21.0, 'displayValue': '21', 'period': 2}
 {'value': 18.0, 'displayValue': '18', 'period': 3}
 {'value': 17.0, 'displayValue': '17', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400899184,2017,1,,0,10,4,2016
400899189,s:40~l:46~e:400899189~c:400899189,2016-10-04 02:00:00+00:00,15004,True,False,False,True,False,2016-10-04T02:00Z,,[],,,home,CSNN,1,STD,3423,Moda Center,Portland,OR,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,000000,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,98,True,"[{'value': 30.0, 'displayValue': '30', 'period': 1}
 {'value': 23.0, 'displayValue': '23', 'period': 2}
 {'value': 27.0, 'displayValue': '27', 'period': 3}
 {'value': 18.0, 'displayValue': '18', 'period': 4}]","[{'abbreviation': 'Game', 'name': 'overall', 'summary': '1-0', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '1-0', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '0-0', 'type': 'road'}]",26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,79a3dc,True,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,89,False,"[{'value': 28.0, 'displayValue': '28', 'period': 1}
 {'value': 23.0, 'displayValue': '23', 'period': 2}
 {'value': 17.0, 'displayValue': '17', 'period': 3}
 {'value': 21.0, 'displayValue': '21', 'period': 4}]","[{'name': 'overall', 'abbreviation': 'Game', 'type': 'total', 'summary': '0-1'}
 {'name': 'Home', 'abbreviation': None, 'type': 'home', 'summary': '0-0'}
 {'name': 'Road', 'abbreviation': None, 'type': 'road', 'summary': '0-1'}]",400899189,2017,1,,0,10,4,2016
