game_id,date,game_status,home_name,home_id,home_score,away_name,away_id,away_score,venue_full_name,season_id,game_type,is_postseason,month,day,year
74,2023-12-04 18:00:00+00:00,Final 1st OT,PWHL Boston,1,2,PWHL Toronto,6,5,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,4,2023
75,2023-12-04 21:15:00+00:00,Final 1st OT,PWHL Minnesota,2,8,PWHL Ottawa,5,4,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,4,2023
76,2023-12-05 00:30:00+00:00,Final 1st OT,PWHL New York,4,4,PWHL Montreal,3,0,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,5,2023
77,2023-12-05 17:00:00+00:00,Final 1st OT,PWHL Toronto,6,4,PWHL Minnesota,2,5,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,5,2023
78,2023-12-05 20:15:00+00:00,Final 1st OT,PWHL Montreal,3,3,PWHL Boston,1,1,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,5,2023
79,2023-12-06 00:30:00+00:00,Final SO,PWHL Ottawa,5,1,PWHL New York,4,2,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,6,2023
80,2023-12-07 14:00:00+00:00,Final,PWHL Minnesota,2,4,PWHL Montreal,3,3,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,7,2023
81,2023-12-07 17:15:00+00:00,Final 1st OT,PWHL Toronto,6,4,PWHL New York,4,6,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,7,2023
82,2023-12-07 20:30:00+00:00,Final 1st OT,PWHL Boston,1,3,PWHL Ottawa,5,1,Utica University Nexus Center - Mastrovito Hyundai,2,,,12,7,2023
2,2024-01-01 17:30:00+00:00,Final,PWHL Toronto,6,0,PWHL New York,4,4,Mattamy Athletic Centre | Toronto,1,,,1,1,2024
3,2024-01-03 00:00:00+00:00,Final 1st OT,PWHL Ottawa,5,2,PWHL Montreal,3,3,TD Place | Ottawa,1,,,1,3,2024
4,2024-01-04 00:00:00+00:00,Final,PWHL Boston,1,2,PWHL Minnesota,2,3,Tsongas Center | Lowell,1,,,1,4,2024
5,2024-01-06 00:00:00+00:00,Final,PWHL New York,4,2,PWHL Toronto,6,3,Total Mortgage Arena | Bridgeport,1,,,1,6,2024
6,2024-01-06 20:30:00+00:00,Final,PWHL Minnesota,2,3,PWHL Montreal,3,0,Xcel Energy Center | St. Paul,1,,,1,6,2024
9,2024-01-11 00:00:00+00:00,Final,PWHL New York,4,2,PWHL Montreal,3,5,UBS Arena | Elmont,1,,,1,11,2024
8,2024-01-11 01:00:00+00:00,Final,PWHL Minnesota,2,3,PWHL Toronto,6,1,Xcel Energy Center | St. Paul,1,,,1,11,2024
10,2024-01-13 18:00:00+00:00,Final,PWHL Toronto,6,1,PWHL Ottawa,5,5,Mattamy Athletic Centre | Toronto,1,,,1,13,2024
11,2024-01-13 20:30:00+00:00,Final 1st OT,PWHL Montreal,3,2,PWHL Boston,1,3,Verdun Auditorium | Montreal,1,,,1,13,2024
12,2024-01-14 21:00:00+00:00,Final 1st OT,PWHL Minnesota,2,2,PWHL New York,4,3,Xcel Energy Center | St. Paul,1,,,1,14,2024
13,2024-01-17 00:00:00+00:00,Final,PWHL Montreal,3,3,PWHL New York,4,2,Place Bell | Laval,1,,,1,17,2024
15,2024-01-18 00:00:00+00:00,Final 1st OT,PWHL Ottawa,5,2,PWHL Minnesota,2,3,TD Place | Ottawa,1,,,1,18,2024
14,2024-01-18 00:00:00+00:00,Final,PWHL Toronto,6,2,PWHL Boston,1,3,Mattamy Athletic Centre | Toronto,1,,,1,18,2024
16,2024-01-20 17:30:00+00:00,Final,PWHL Boston,1,1,PWHL New York,4,4,Tsongas Center | Lowell,1,,,1,20,2024
17,2024-01-21 01:00:00+00:00,Final SO,PWHL Montreal,3,3,PWHL Toronto,6,4,Verdun Auditorium | Montreal,1,,,1,21,2024
18,2024-01-24 00:00:00+00:00,Final,PWHL Ottawa,5,3,PWHL Toronto,6,1,TD Place | Ottawa,1,,,1,24,2024
19,2024-01-25 00:00:00+00:00,Final,PWHL Ottawa,5,2,PWHL Boston,1,3,TD Place | Ottawa,1,,,1,25,2024
20,2024-01-25 01:00:00+00:00,Final,PWHL Minnesota,2,1,PWHL Montreal,3,2,Xcel Energy Center | St. Paul,1,,,1,25,2024
21,2024-01-27 00:00:00+00:00,Final,PWHL Toronto,6,2,PWHL New York,4,0,Mattamy Athletic Centre | Toronto,1,,,1,27,2024
22,2024-01-27 20:30:00+00:00,Final 1st OT,PWHL Montreal,3,2,PWHL Ottawa,5,1,Place Bell | Laval,1,,,1,27,2024
23,2024-01-27 21:00:00+00:00,Final 1st OT,PWHL Boston,1,4,PWHL Minnesota,2,3,Tsongas Center | Lowell,1,,,1,27,2024
24,2024-01-28 18:00:00+00:00,Final 1st OT,PWHL New York,4,1,PWHL Minnesota,2,2,Total Mortgage Arena | Bridgeport,1,,,1,28,2024
25,2024-02-03 17:00:00+00:00,Final,PWHL Toronto,6,4,PWHL Minnesota,2,1,Mattamy Athletic Centre | Toronto,1,,,2,3,2024
26,2024-02-04 18:00:00+00:00,Final 1st OT,PWHL Ottawa,5,3,PWHL New York,4,4,TD Place | Ottawa,1,,,2,4,2024
27,2024-02-04 20:30:00+00:00,Final 1st OT,PWHL Boston,1,1,PWHL Montreal,3,2,Tsongas Center | Lowell,1,,,2,4,2024
29,2024-02-15 00:00:00+00:00,Final,PWHL Boston,1,3,PWHL Toronto,6,5,Tsongas Center | Lowell,1,,,2,15,2024
28,2024-02-15 01:00:00+00:00,Final,PWHL Minnesota,2,2,PWHL Ottawa,5,1,Xcel Energy Center | St. Paul,1,,,2,15,2024
30,2024-02-17 00:00:00+00:00,Final,PWHL Toronto,6,3,PWHL Montreal,3,0,Scotiabank Arena | Toronto,1,,,2,17,2024
31,2024-02-17 19:00:00+00:00,Final,PWHL Ottawa,5,1,PWHL Minnesota,2,2,TD Place | Ottawa,1,,,2,17,2024
32,2024-02-17 21:00:00+00:00,Final 1st OT,PWHL Boston,1,1,PWHL New York,4,2,Tsongas Center | Lowell,1,,,2,17,2024
33,2024-02-18 18:00:00+00:00,Final,PWHL Montreal,3,2,PWHL Minnesota,2,1,Place Bell | Laval,1,,,2,18,2024
83,2024-02-19 21:30:00+00:00,Final,PWHL Boston,1,2,PWHL Ottawa,5,4,Tsongas Center | Lowell,1,,,2,19,2024
35,2024-02-22 00:00:00+00:00,Final SO,PWHL New York,4,3,PWHL Montreal,3,2,UBS Arena | Elmont,1,,,2,22,2024
34,2024-02-22 00:00:00+00:00,Final,PWHL Boston,1,3,PWHL Ottawa,5,1,Tsongas Center | Lowell,1,,,2,22,2024
36,2024-02-24 00:00:00+00:00,Final SO,PWHL Toronto,6,2,PWHL New York,4,1,Mattamy Athletic Centre | Toronto,1,,,2,24,2024
37,2024-02-24 19:30:00+00:00,Final,PWHL Montreal,3,6,PWHL Ottawa,5,3,Verdun Auditorium | Montreal,1,,,2,24,2024
38,2024-02-25 21:00:00+00:00,Final,PWHL Minnesota,2,0,PWHL Boston,1,2,Xcel Energy Center | St. Paul,1,,,2,25,2024
40,2024-02-28 01:00:00+00:00,Final 1st OT,PWHL Minnesota,2,3,PWHL Toronto,6,4,3M Arena at Mariucci | Minneapolis,1,,,2,28,2024
39,2024-02-29 00:00:00+00:00,Final,PWHL Ottawa,5,4,PWHL New York,4,2,TD Place | Ottawa,1,,,2,29,2024
41,2024-03-02 20:30:00+00:00,Final,PWHL Ottawa,5,2,PWHL Toronto,6,5,TD Place | Ottawa,1,,,3,2,2024
42,2024-03-02 21:00:00+00:00,Final,PWHL Montreal,3,3,PWHL Boston,1,1,Verdun Auditorium | Montreal,1,,,3,2,2024
43,2024-03-03 17:30:00+00:00,Final,PWHL New York,4,0,PWHL Minnesota,2,2,UBS Arena | Elmont,1,,,3,3,2024
44,2024-03-06 01:00:00+00:00,Final SO,PWHL Minnesota,2,4,PWHL Ottawa,5,3,Xcel Energy Center | St. Paul,1,,,3,6,2024
46,2024-03-07 00:00:00+00:00,Final,PWHL New York,4,3,PWHL Montreal,3,4,Total Mortgage Arena | Bridgeport,1,,,3,7,2024
45,2024-03-07 00:00:00+00:00,Final,PWHL Toronto,6,3,PWHL Boston,1,1,Mattamy Athletic Centre | Toronto,1,,,3,7,2024
47,2024-03-09 00:00:00+00:00,Final,PWHL Toronto,6,3,PWHL Montreal,3,0,Mattamy Athletic Centre | Toronto,1,,,3,9,2024
48,2024-03-10 19:00:00+00:00,Final 1st OT,PWHL Boston,1,3,PWHL New York,4,2,Tsongas Center | Lowell,1,,,3,10,2024
49,2024-03-10 20:00:00+00:00,Final,PWHL Montreal,3,2,PWHL Ottawa,5,4,Place Bell | Laval,1,,,3,10,2024
50,2024-03-14 00:00:00+00:00,Final,PWHL Minnesota,2,4,PWHL Boston,1,0,Xcel Energy Center | St. Paul,1,,,3,14,2024
51,2024-03-16 19:30:00+00:00,Final,PWHL Minnesota,2,5,PWHL New York,4,1,Xcel Energy Center | St. Paul,1,,,3,16,2024
65,2024-03-16 22:00:00+00:00,Final SO,PWHL Boston,1,2,PWHL Ottawa,5,1,Little Caesars Arena | Detroit,1,,,3,16,2024
66,2024-03-17 16:30:00+00:00,Final,PWHL Montreal,3,1,PWHL Toronto,6,2,PPG Paints Arena | Pittsburgh,1,,,3,17,2024
52,2024-03-20 23:00:00+00:00,Final,PWHL Toronto,6,2,PWHL Boston,1,1,Mattamy Athletic Centre | Toronto,1,,,3,20,2024
53,2024-03-20 23:00:00+00:00,Final,PWHL New York,4,0,PWHL Ottawa,5,3,Total Mortgage Arena | Bridgeport,1,,,3,20,2024
54,2024-03-23 17:00:00+00:00,Final,PWHL Ottawa,5,5,PWHL Toronto,6,3,TD Place | Ottawa,1,,,3,23,2024
